SPECIES_CODE,SCI_NAME,PRIMARY_COM_NAME,PRI_COM_NAME_INDXD,AUTHORITY_CODE,AUTHORITY_VER,TAXON_ORDER,SPARSE_REPORT_AS,REPORT_AS,CATEGORY,ORDER1,FAMILY,EXTINCT,EXTINCT_YEAR,TAXON_CODE
scbtan2,Heterospingus xanthopygius,Scarlet-browed Tanager,"Tanager, Scarlet-browed",EBIRD,2017.02,28771,,scbtan2,species,Passeriformes,Thraupidae (Tanagers and Allies),0,,TC010744
fabtan1,Pipraeidea melanonota,Fawn-breasted Tanager,"Tanager, Fawn-breasted",EBIRD,2017.02,28421.77,,fabtan1,species,Passeriformes,Thraupidae (Tanagers and Allies),0,,TC010809
eurcoo,Fulica atra,Eurasian Coot,"Coot, Eurasian",EBIRD,2017.02,3609,,eurcoo,species,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",0,,TC001819
cubgra,Tiaris canorus,Cuban Grassquit,"Grassquit, Cuban",EBIRD,2017.02,29231,,cubgra,species,Passeriformes,Thraupidae (Tanagers and Allies),0,,TC011012
eurcur,Numenius arquata,Eurasian Curlew,"Curlew, Eurasian",EBIRD,2017.02,4007.5,,eurcur,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),0,,TC002026
eurdot,Charadrius morinellus,Eurasian Dotterel,"Dotterel, Eurasian",EBIRD,2017.02,3926,,eurdot,species,Charadriiformes,Charadriidae (Plovers and Lapwings),0,,TC001940
eurgol,Carduelis carduelis,European Goldfinch,"Goldfinch, European",EBIRD,2017.02,31018.8,,eurgol,species,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",0,,TC011758
eurhob,Falco subbuteo,Eurasian Hobby,"Hobby, Eurasian",EBIRD,2017.02,11582.26,,eurhob,species,Falconiformes,Falconidae (Falcons and Caracaras),0,,TC001583
venflo1,Diglossa venezuelensis,Venezuelan Flowerpiercer,"Flowerpiercer, Venezuelan",EBIRD,2017.02,28852,,venflo1,species,Passeriformes,Thraupidae (Tanagers and Allies),0,,TC011053
rcbfin1,Atlapetes pileatus,Rufous-capped Brushfinch,"Brushfinch, Rufous-capped",EBIRD,2017.02,29984.87,,rcbfin1,species,Passeriformes,Passerellidae (New World Buntings and Sparrows),0,,TC011145
eurwry,Jynx torquilla,Eurasian Wryneck,"Wryneck, Eurasian",EBIRD,2017.02,10765,,eurwry,species,Piciformes,Picidae (Woodpeckers),0,,TC004825
evegro,Coccothraustes vespertinus,Evening Grosbeak,"Grosbeak, Evening",EBIRD,2017.02,30797.2,,evegro,species,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",0,,TC011828
spotow1,Pipilo maculatus [oregonus Group],Spotted Towhee (oregonus Group),"Towhee, Spotted (oregonus Group)",EBIRD,2017.02,29984.7,spotow,spotow,issf,Passeriformes,Passerellidae (New World Buntings and Sparrows),0,,TC011170
zapspa1,Torreornis inexpectata,Zapata Sparrow,"Sparrow, Zapata",EBIRD,2017.02,29984.54,,zapspa1,species,Passeriformes,Passerellidae (New World Buntings and Sparrows),0,,TC011208
falcon,Falco sp.,falcon sp.,falcon sp.,EBIRD,2017.02,11582.88,,falcon,spuh,Falconiformes,Falconidae (Falcons and Caracaras),0,,TC001611
vinbun1,Emberiza vincenti,Vincent's Bunting,"Bunting, Vincent's",EBIRD,2017.02,30064,,vinbun1,species,Passeriformes,Emberizidae (Old World Buntings),0,,TC011349
fepowl,Glaucidium brasilianum,Ferruginous Pygmy-Owl,"Owl, Ferruginous Pygmy-",EBIRD,2017.02,7375,,fepowl,species,Strigiformes,Strigidae (Owls),0,,TC003530
flaowl,Psiloscops flammeolus,Flammulated Owl,"Owl, Flammulated",EBIRD,2017.02,7149.5,,flaowl,species,Strigiformes,Strigidae (Owls),0,,TC003419
flfshe,Ardenna carneipes,Flesh-footed Shearwater,"Shearwater, Flesh-footed",EBIRD,2017.02,1811,,flfshe,species,Procellariiformes,Procellariidae (Shearwaters and Petrels),0,,TC000851
spceup1,Euphonia imitans,Spot-crowned Euphonia,"Euphonia, Spot-crowned",EBIRD,2017.02,30772,,spceup1,species,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",0,,TC011635
forter,Sterna forsteri,Forster's Tern,"Tern, Forster's",EBIRD,2017.02,4508,,forter,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",0,,TC002313
foxspa,Passerella iliaca,Fox Sparrow,"Sparrow, Fox",EBIRD,2017.02,29840,,foxspa,species,Passeriformes,Passerellidae (New World Buntings and Sparrows),0,,TC011262
fragul,Leucophaeus pipixcan,Franklin's Gull,"Gull, Franklin's",EBIRD,2017.02,4299,,fragul,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",0,,TC002197
fuwduc,Dendrocygna bicolor,Fulvous Whistling-Duck,"Duck, Fulvous Whistling-",EBIRD,2017.02,217,,fuwduc,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",0,,TC000080
gadwal,Mareca strepera,Gadwall,Gadwall,EBIRD,2017.02,377,,gadwal,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",0,,TC000194
glagul,Larus hyperboreus,Glaucous Gull,"Gull, Glaucous",EBIRD,2017.02,4365,,glagul,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",0,,TC002255
gnttow,Pipilo chlorurus,Green-tailed Towhee,"Towhee, Green-tailed",EBIRD,2017.02,29984.68,,gnttow,species,Passeriformes,Passerellidae (New World Buntings and Sparrows),0,,TC011168
gnwtea,Anas crecca,Green-winged Teal,"Teal, Green-winged",EBIRD,2017.02,462,,gnwtea,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",0,,TC000257
gocspa,Zonotrichia atricapilla,Golden-crowned Sparrow,"Sparrow, Golden-crowned",EBIRD,2017.02,29984.13,,gocspa,species,Passeriformes,Passerellidae (New World Buntings and Sparrows),0,,TC011285
gofwoo,Melanerpes aurifrons,Golden-fronted Woodpecker,"Woodpecker, Golden-fronted",EBIRD,2017.02,10909,,gofwoo,species,Piciformes,Picidae (Woodpeckers),0,,TC004880
goleag,Aquila chrysaetos,Golden Eagle,"Eagle, Golden",EBIRD,2017.02,2588,,goleag,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",0,,TC001496
gowwar,Vermivora chrysoptera,Golden-winged Warbler,"Warbler, Golden-winged",EBIRD,2017.02,27776.5,,gowwar,species,Passeriformes,Parulidae (New World Warblers),0,,TC010476
grbher,Ardea herodias [herodias Group],Great Blue Heron (Blue form),"Heron, Great Blue (Blue form)",EBIRD,2017.02,2119,grbher3,grbher3,issf,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",0,,TC001080
grecor,Phalacrocorax carbo,Great Cormorant,"Cormorant, Great",EBIRD,2017.02,1984.04,,grecor,species,Suliformes,Phalacrocoracidae (Cormorants and Shags),0,,TC000998
greela,Myiopagis viridicata,Greenish Elaenia,"Elaenia, Greenish",EBIRD,2017.02,13909,,greela,species,Passeriformes,Tyrannidae (Tyrant Flycatchers),0,,TC005949
grekno,Calidris tenuirostris,Great Knot,"Knot, Great",EBIRD,2017.02,4028,,grekno,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),0,,TC002042
zimmer1,Zimmerius sp.,Zimmerius sp.,Zimmerius sp.,EBIRD,2017.02,14115,,zimmer1,spuh,Passeriformes,Tyrannidae (Tyrant Flycatchers),0,,TC006047
greyel,Tringa melanoleuca,Greater Yellowlegs,"Yellowlegs, Greater",EBIRD,2017.02,4139.12,,greyel,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),0,,TC002002
grgowl,Strix nebulosa,Great Gray Owl,"Owl, Great Gray",EBIRD,2017.02,7547,,grgowl,species,Strigiformes,Strigidae (Owls),0,,TC003576
ochpew1,Contopus ochraceus,Ochraceous Pewee,"Pewee, Ochraceous",EBIRD,2017.02,14528,,ochpew1,species,Passeriformes,Tyrannidae (Tyrant Flycatchers),0,,TC006205
tumtyr2,Tumbezia salvini,Tumbes Tyrant,"Tyrant, Tumbes",EBIRD,2017.02,14774,,tumtyr2,species,Passeriformes,Tyrannidae (Tyrant Flycatchers),0,,TC006325
grnher,Butorides virescens,Green Heron,"Heron, Green",EBIRD,2017.02,2196,,grnher,species,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",0,,TC001130
grnjay,Cyanocorax yncas,Green Jay,"Jay, Green",EBIRD,2017.02,18772,,grnjay,species,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",0,,TC007674
grnkin,Chloroceryle americana,Green Kingfisher,"Kingfisher, Green",EBIRD,2017.02,9939,,grnkin,species,Coraciiformes,Alcedinidae (Kingfishers),0,,TC004489
grnpar,Psittacara holochlorus,Green Parakeet,"Parakeet, Green",EBIRD,2017.02,11592.27,,grnpar,species,Psittaciformes,Psittacidae (New World and African Parrots),0,,TC003033
masfru1,Pipreola pulchra,Masked Fruiteater,"Fruiteater, Masked",EBIRD,2017.02,15104,,masfru1,species,Passeriformes,Cotingidae (Cotingas),0,,TC006457
capuch1,Perissocephalus tricolor,Capuchinbird,Capuchinbird,EBIRD,2017.02,15152,,capuch1,species,Passeriformes,Cotingidae (Cotingas),0,,TC006485
ficman1,Machaeropterus pyrocephalus,Fiery-capped Manakin,"Manakin, Fiery-capped",EBIRD,2017.02,15337.375,,ficman1,species,Passeriformes,Pipridae (Manakins),0,,TC006536
grpchi,Tympanuchus cupido,Greater Prairie-Chicken,"Chicken, Greater Prairie-",EBIRD,2017.02,1548,,grpchi,species,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",0,,TC000666
grybun,Emberiza variabilis,Gray Bunting,"Bunting, Gray",EBIRD,2017.02,30107,,grybun,species,Passeriformes,Emberizidae (Old World Buntings),0,,TC011367
dusmyz1,Myzomela obscura,Dusky Myzomela,"Myzomela, Dusky",EBIRD,2017.02,15821,,dusmyz1,species,Passeriformes,Meliphagidae (Honeyeaters),0,,TC006766
myzome1,Myzomela sp.,myzomela sp.,myzomela sp.,EBIRD,2017.02,15869,,myzome1,spuh,Passeriformes,Meliphagidae (Honeyeaters),0,,TC006793
grykin,Tyrannus dominicensis,Gray Kingbird,"Kingbird, Gray",EBIRD,2017.02,15056,,grykin,species,Passeriformes,Tyrannidae (Tyrant Flycatchers),0,,TC006431
guspet,Oceanodroma macrodactyla,Guadalupe Storm-Petrel,"Petrel, Guadalupe Storm-",EBIRD,2017.02,1906,,guspet,species,Procellariiformes,Hydrobatidae (Storm-Petrels),1,1912,TC000921
gycyel,Geothlypis poliocephala,Gray-crowned Yellowthroat,"Yellowthroat, Gray-crowned",EBIRD,2017.02,27808,,gycyel,species,Passeriformes,Parulidae (New World Warblers),0,,TC010581
hawcoo,Fulica alai,Hawaiian Coot,"Coot, Hawaiian",EBIRD,2017.02,3614,,hawcoo,species,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",0,,TC001820
hawcre,Loxops mana,Hawaii Creeper,"Creeper, Hawaii",EBIRD,2017.02,30863.23,,hawcre,species,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",0,,TC011860
hawcro,Corvus hawaiiensis,Hawaiian Crow,"Crow, Hawaiian",EBIRD,2017.02,19088,,hawcro,species,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",0,,TC007772
hawfin,Coccothraustes coccothraustes,Hawfinch,Hawfinch,EBIRD,2017.02,30798.4,,hawfin,species,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",0,,TC011829
hawgoo,Branta sandvicensis,Hawaiian Goose,"Goose, Hawaiian",EBIRD,2017.02,289,,hawgoo,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",0,,TC000130
hawk,Accipitridae sp. (hawk sp.),hawk sp.,hawk sp.,EBIRD,2017.02,3041,,hawk,spuh,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",0,,TC001482
hawoo,Moho nobilis,Hawaii Oo,"Oo, Hawaii",EBIRD,2017.02,27744,,hawoo,species,Passeriformes,Mohoidae (Hawaiian Honeyeaters),1,1898,TC010454
heegul,Larus heermanni,Heermann's Gull,"Gull, Heermann's",EBIRD,2017.02,4313,,heegul,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",0,,TC002209
hilmyn,Gracula religiosa,Common Hill Myna,"Myna, Common Hill",EBIRD,2017.02,26568,,hilmyn,species,Passeriformes,Sturnidae (Starlings),0,,TC010062
hooori,Icterus cucullatus,Hooded Oriole,"Oriole, Hooded",EBIRD,2017.02,30338.063,,hooori,species,Passeriformes,Icteridae (Troupials and Allies),0,,TC011537
horlar,Eremophila alpestris,Horned Lark,"Lark, Horned",EBIRD,2017.02,19870,,horlar,species,Passeriformes,Alaudidae (Larks),0,,TC007999
horpuf,Fratercula corniculata,Horned Puffin,"Puffin, Horned",EBIRD,2017.02,4262.79,,horpuf,species,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",0,,TC002391
houwre,Troglodytes aedon,House Wren,"Wren, House",EBIRD,2017.02,21138,,houwre,species,Passeriformes,Troglodytidae (Wrens),0,,TC008364
hutvir,Vireo huttoni,Hutton's Vireo,"Vireo, Hutton's",EBIRD,2017.02,17786.5,,hutvir,species,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",0,,TC007398
incdov,Columbina inca,Inca Dove,"Dove, Inca",EBIRD,2017.02,4990.015,,incdov,species,Columbiformes,Columbidae (Pigeons and Doves),0,,TC002547
flatre1,Thripadectes flammulatus,Flammulated Treehunter,"Treehunter, Flammulated",EBIRD,2017.02,13663.8,,flatre1,species,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),0,,TC005405
cocwoo3,Xiphorhynchus susurrans [susurrans Group],Cocoa Woodcreeper (Cocoa),"Woodcreeper, Cocoa (Cocoa)",EBIRD,2017.02,13590.6,cocwoo1,cocwoo1,issf,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),0,,TC005488
soosla1,Thamnophilus ambiguus,Sooretama Slaty-Antshrike,"Antshrike, Sooretama Slaty-",EBIRD,2017.02,12952,,soosla1,species,Passeriformes,Thamnophilidae (Typical Antbirds),0,,TC005555
pihwar1,Cardellina versicolor,Pink-headed Warbler,"Warbler, Pink-headed",EBIRD,2017.02,28100,,pihwar1,species,Passeriformes,Parulidae (New World Warblers),0,,TC010596
rehbar1,Eubucco bourcierii,Red-headed Barbet,"Barbet, Red-headed",EBIRD,2017.02,10599,,rehbar1,species,Piciformes,Capitonidae (New World Barbets),0,,TC004758
javspa,Lonchura oryzivora,Java Sparrow,"Sparrow, Java",EBIRD,2017.02,32143,,javspa,species,Passeriformes,Estrildidae (Waxbills and Allies),0,,TC012187
pluant3,Dysithamnus plumbeus,Plumbeous Antvireo,"Antvireo, Plumbeous",EBIRD,2017.02,13031,,pluant3,species,Passeriformes,Thamnophilidae (Typical Antbirds),0,,TC005579
jaweye,Zosterops japonicus,Japanese White-eye,"White-eye, Japanese",EBIRD,2017.02,23377.00443,,jaweye,species,Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",0,,TC009899
kakawa,Paroreomyza flammea,Kakawahie,Kakawahie,EBIRD,2017.02,30862.12,,kakawa,species,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",1,1963,TC011862
kalphe,Lophura leucomelanos,Kalij Pheasant,"Pheasant, Kalij",EBIRD,2017.02,1371,,kalphe,species,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",0,,TC000605
kelgul,Larus dominicanus,Kelp Gull,"Gull, Kelp",EBIRD,2017.02,4372,,kelgul,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",0,,TC002258
kenwar,Geothlypis formosa,Kentucky Warbler,"Warbler, Kentucky",EBIRD,2017.02,27825,,kenwar,species,Passeriformes,Parulidae (New World Warblers),0,,TC010565
kinrai,Rallus tenuirostris/elegans,Aztec/King Rail,"Rail, Aztec/King",EBIRD,2017.02,3394.9,,kinrai,slash,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",0,,TC001717
kioea,Chaetoptila angustipluma,Kioea,Kioea,EBIRD,2017.02,27745,,kioea,species,Passeriformes,Mohoidae (Hawaiian Honeyeaters),1,1900,TC010455
kongro,Chloridops kona,Kona Grosbeak,"Grosbeak, Kona",EBIRD,2017.02,30862.27,,kongro,species,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",1,1894,TC011843
kwqdov,Geotrygon chrysia,Key West Quail-Dove,"Dove, Key West Quail-",EBIRD,2017.02,4990.375,,kwqdov,species,Columbiformes,Columbidae (Pigeons and Doves),0,,TC002585
labduc,Camptorhynchus labradorius,Labrador Duck,"Duck, Labrador",EBIRD,2017.02,529,,labduc,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",1,1875,TC000312
lanwar,Locustella lanceolata,Lanceolated Warbler,"Warbler, Lanceolated",EBIRD,2017.02,22338,,lanwar,species,Passeriformes,Locustellidae (Grassbirds and Allies),0,,TC008762
larfal,Falco sp. (large falcon sp.),large falcon sp.,"falcon, large sp.",EBIRD,2017.02,11582.86,,larfal,spuh,Falconiformes,Falconidae (Falcons and Caracaras),0,,TC001609
redwar1,Cardellina rubra,Red Warbler,"Warbler, Red",EBIRD,2017.02,28096,,redwar1,species,Passeriformes,Parulidae (New World Warblers),0,,TC010593
laugul,Leucophaeus atricilla,Laughing Gull,"Gull, Laughing",EBIRD,2017.02,4295,,laugul,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",0,,TC002195
layalb,Phoebastria immutabilis,Laysan Albatross,"Albatross, Laysan",EBIRD,2017.02,1709,,layalb,species,Procellariiformes,Diomedeidae (Albatrosses),0,,TC000765
layfin,Telespiza cantans,Laysan Finch,"Finch, Laysan",EBIRD,2017.02,30862.21,,layfin,species,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",0,,TC011836
lazbun,Passerina amoena,Lazuli Bunting,"Bunting, Lazuli",EBIRD,2017.02,30320,,lazbun,species,Passeriformes,Cardinalidae (Cardinals and Allies),0,,TC011442
leaauk,Aethia pusilla,Least Auklet,"Auklet, Least",EBIRD,2017.02,4262.7,,leaauk,species,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",0,,TC002385
lesnig,Chordeiles acutipennis,Lesser Nighthawk,"Nighthawk, Lesser",EBIRD,2017.02,7767,,lesnig,species,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),0,,TC003654
libher,Egretta caerulea,Little Blue Heron,"Heron, Little Blue",EBIRD,2017.02,2173,,libher,species,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",0,,TC001112
limpki,Aramus guarauna,Limpkin,Limpkin,EBIRD,2017.02,3692,,limpki,species,Gruiformes,Aramidae (Limpkin),0,,TC001832
litgul,Hydrocoloeus minutus,Little Gull,"Gull, Little",EBIRD,2017.02,4291,,litgul,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",0,,TC002191
blcfly1,Empidonax atriceps,Black-capped Flycatcher,"Flycatcher, Black-capped",EBIRD,2017.02,14619,,blcfly1,species,Passeriformes,Tyrannidae (Tyrant Flycatchers),0,,TC006245
lobdow,Limnodromus scolopaceus,Long-billed Dowitcher,"Dowitcher, Long-billed",EBIRD,2017.02,4084,,lobdow,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),0,,TC002083
lobthr,Toxostoma longirostre,Long-billed Thrasher,"Thrasher, Long-billed",EBIRD,2017.02,26396,,lobthr,species,Passeriformes,Mimidae (Mockingbirds and Thrashers),0,,TC010000
loeowl,Asio otus,Long-eared Owl,"Owl, Long-eared",EBIRD,2017.02,7555,,loeowl,species,Strigiformes,Strigidae (Owls),0,,TC003578
loon,Gavia sp.,loon sp.,loon sp.,EBIRD,2017.02,1570,,loon,spuh,Gaviiformes,Gaviidae (Loons),0,,TC000680
magwar,Setophaga magnolia,Magnolia Warbler,"Warbler, Magnolia",EBIRD,2017.02,27882,,magwar,species,Passeriformes,Parulidae (New World Warblers),0,,TC010510
manduc,Aix galericulata,Mandarin Duck,"Duck, Mandarin",EBIRD,2017.02,360,,manduc,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",0,,TC000187
margod,Limosa fedoa,Marbled Godwit,"Godwit, Marbled",EBIRD,2017.02,4019,,margod,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),0,,TC002037
marsan,Tringa stagnatilis,Marsh Sandpiper,"Sandpiper, Marsh",EBIRD,2017.02,4139.21,,marsan,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),0,,TC002010
eubeat1,Merops apiaster,European Bee-eater,"Bee-eater, European",EBIRD,2017.02,10008,,eubeat1,species,Coraciiformes,Meropidae (Bee-eaters),0,,TC004514
masduc,Nomonyx dominicus,Masked Duck,"Duck, Masked",EBIRD,2017.02,566,,masduc,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",0,,TC000345
plgrol1,Atelornis pittoides,Pitta-like Ground-Roller,"Roller, Pitta-like Ground-",EBIRD,2017.02,10058,,plgrol1,species,Coraciiformes,Brachypteraciidae (Ground-Rollers),0,,TC004535
rbdhor1,Lophoceros camurus,Red-billed Dwarf Hornbill,"Hornbill, Red-billed Dwarf",EBIRD,2017.02,9491.52,,rbdhor1,species,Bucerotiformes,Bucerotidae (Hornbills),0,,TC004553
bronun1,Nonnula brunnea,Brown Nunlet,"Nunlet, Brown",EBIRD,2017.02,10269,,bronun1,species,Galbuliformes,Bucconidae (Puffbirds),0,,TC004638
rutjac1,Galbula ruficauda,Rufous-tailed Jacamar,"Jacamar, Rufous-tailed",EBIRD,2017.02,10319,,rutjac1,species,Galbuliformes,Galbulidae (Jacamars),0,,TC004660
westin1,Pogoniulus coryphaea,Western Tinkerbird,"Tinkerbird, Western",EBIRD,2017.02,10401,,westin1,species,Piciformes,Lybiidae (African Barbets),0,,TC004690
wtgfin1,Emberizoides herbicola,Wedge-tailed Grass-Finch,"Finch, Wedge-tailed Grass-",EBIRD,2017.02,29047,,wtgfin1,species,Passeriformes,Thraupidae (Tanagers and Allies),0,,TC011083
meapar,Amazona farinosa,Mealy Parrot,"Parrot, Mealy",EBIRD,2017.02,11590.21,,meapar,species,Psittaciformes,Psittacidae (New World and African Parrots),0,,TC003170
toctou1,Ramphastos toco,Toco Toucan,"Toucan, Toco",EBIRD,2017.02,10699,,toctou1,species,Piciformes,Ramphastidae (Toucans),0,,TC004800
tawpic1,Picumnus fulvescens,Tawny Piculet,"Piculet, Tawny",EBIRD,2017.02,10838,,tawpic1,species,Piciformes,Picidae (Woodpeckers),0,,TC004847
reiwoo1,Campethera scriptoricauda,Reichenow's Woodpecker,"Woodpecker, Reichenow's",EBIRD,2017.02,10957,,reiwoo1,species,Piciformes,Picidae (Woodpeckers),0,,TC004900
crbwoo3,Dendrocopos cathpharius,Crimson-breasted Woodpecker,"Woodpecker, Crimson-breasted",EBIRD,2017.02,11091,,crbwoo3,species,Piciformes,Picidae (Woodpeckers),0,,TC004937
litwoo2,Veniliornis passerinus,Little Woodpecker,"Woodpecker, Little",EBIRD,2017.02,11216,,litwoo2,species,Piciformes,Picidae (Woodpeckers),0,,TC004975
chewoo2,Celeus elegans,Chestnut Woodpecker,"Woodpecker, Chestnut",EBIRD,2017.02,11384,,chewoo2,species,Piciformes,Picidae (Woodpeckers),0,,TC005017
robwoo1,Campephilus robustus,Robust Woodpecker,"Woodpecker, Robust",EBIRD,2017.02,11429,,robwoo1,species,Piciformes,Picidae (Woodpeckers),0,,TC005037
grnwoo3,Picus viridis sharpei,Eurasian Green Woodpecker (Iberian),"Woodpecker, Eurasian Green (Iberian)",EBIRD,2017.02,11487,grnwoo1,grnwoo1,issf,Piciformes,Picidae (Woodpeckers),0,,TC005060
mexjay,Aphelocoma wollweberi/ultramarina,Mexican/Transvolcanic Jay,"Jay, Mexican/Transvolcanic",EBIRD,2017.02,18868.5,,mexjay,slash,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",0,,TC007704
mitpar,Psittacara mitratus,Mitred Parakeet,"Parakeet, Mitred",EBIRD,2017.02,11592.4,,mitpar,species,Psittaciformes,Psittacidae (New World and African Parrots),0,,TC003040
motowl,Ciccaba virgata,Mottled Owl,"Owl, Mottled",EBIRD,2017.02,7472,,motowl,species,Strigiformes,Strigidae (Owls),0,,TC003555
moublu,Sialia currucoides,Mountain Bluebird,"Bluebird, Mountain",EBIRD,2017.02,24499,,moublu,species,Passeriformes,Turdidae (Thrushes and Allies),0,,TC009411
mouchi,Poecile gambeli,Mountain Chickadee,"Chickadee, Mountain",EBIRD,2017.02,20258,,mouchi,species,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",0,,TC008134
murpet,Pterodroma ultima,Murphy's Petrel,"Petrel, Murphy's",EBIRD,2017.02,1739,,murpet,species,Procellariiformes,Procellariidae (Shearwaters and Petrels),0,,TC000791
murrel,Brachyramphus/Synthliboramphus sp.,murrelet sp.,murrelet sp.,EBIRD,2017.02,4262.65,,murrel,spuh,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",0,,TC002382
narfly,Ficedula narcissina,Narcissus Flycatcher,"Flycatcher, Narcissus",EBIRD,2017.02,23403.0678,,narfly,species,Passeriformes,Muscicapidae (Old World Flycatchers),0,,TC009099
naswar,Oreothlypis ruficapilla,Nashville Warbler,"Warbler, Nashville",EBIRD,2017.02,27801,,naswar,species,Passeriformes,Parulidae (New World Warblers),0,,TC010483
nihfin,Telespiza ultima,Nihoa Finch,"Finch, Nihoa",EBIRD,2017.02,30862.24,,nihfin,species,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",0,,TC011837
norbob,Colinus virginianus,Northern Bobwhite,"Bobwhite, Northern",EBIRD,2017.02,773,,norbob,species,Galliformes,Odontophoridae (New World Quail),0,,TC000448
kebmot1,Electron carinatum,Keel-billed Motmot,"Motmot, Keel-billed",EBIRD,2017.02,9537,,kebmot1,species,Coraciiformes,Momotidae (Motmots),0,,TC004388
norhar,Circus cyaneus/hudsonius,Hen/Northern Harrier,"Harrier, Hen/Northern",EBIRD,2017.02,2657.5,,norhar,slash,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",0,,TC001312
norpin,Anas acuta,Northern Pintail,"Pintail, Northern",EBIRD,2017.02,446,,norpin,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",0,,TC000247
norsho,Spatula clypeata,Northern Shoveler,"Shoveler, Northern",EBIRD,2017.02,373.65,,norsho,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",0,,TC000242
norwhe,Oenanthe oenanthe,Northern Wheatear,"Wheatear, Northern",EBIRD,2017.02,23403.097,,norwhe,species,Passeriformes,Muscicapidae (Old World Flycatchers),0,,TC009280
horswi1,Apus horus,Horus Swift,"Swift, Horus",EBIRD,2017.02,8339,,horswi1,species,Caprimulgiformes,Apodidae (Swifts),0,,TC003867
lother1,Phaethornis superciliosus,Long-tailed Hermit,"Hermit, Long-tailed",EBIRD,2017.02,8448,,lother1,species,Caprimulgiformes,Trochilidae (Hummingbirds),0,,TC003914
blteme1,Chlorostilbon mellisugus,Blue-tailed Emerald,"Emerald, Blue-tailed",EBIRD,2017.02,8954,,blteme1,species,Caprimulgiformes,Trochilidae (Hummingbirds),0,,TC004162
gncwoo2,Thalurania colombica hypochlora,Crowned Woodnymph (Emerald-bellied),"Woodnymph, Crowned (Emerald-bellied)",EBIRD,2017.02,9076,crowoo1,crowoo1,issf,Caprimulgiformes,Trochilidae (Hummingbirds),0,,TC004223
whbhum1,Amazilia chionogaster,White-bellied Hummingbird,"Hummingbird, White-bellied",EBIRD,2017.02,9112,,whbhum1,species,Caprimulgiformes,Trochilidae (Hummingbirds),0,,TC004241
