SPECIES_CODE,SCI_NAME,PRIMARY_COM_NAME,PRI_COM_NAME_INDXD,AUTHORITY_CODE,AUTHORITY_VER,TAXON_ORDER,SPARSE_REPORT_AS,REPORT_AS,CATEGORY,ORDER1,FAMILY,EXTINCT,EXTINCT_YEAR,TAXON_CODE
crgthr1,Geokichla crossleyi,Crossley's Ground-Thrush,"Thrush, Crossley's Ground-",EBIRD,2017.02,24389,,crgthr1,species,Passeriformes,Turdidae (Thrushes and Allies),0,,TC009378
yelthr1,Turdus flavipes,Yellow-legged Thrush,"Thrush, Yellow-legged",EBIRD,2017.02,24800,,yelthr1,species,Passeriformes,Turdidae (Thrushes and Allies),0,,TC009503
brhthr1,Turdus chrysolaus,Brown-headed Thrush,"Thrush, Brown-headed",EBIRD,2017.02,24764,,brhthr1,species,Passeriformes,Turdidae (Thrushes and Allies),0,,TC009482
brcale1,Pseudalethe poliocephala,Brown-chested Alethe,"Alethe, Brown-chested",EBIRD,2017.02,23403.0479,,brcale1,species,Passeriformes,Muscicapidae (Old World Flycatchers),0,,TC009561
afdfly1,Muscicapa adusta,Dusky-brown Flycatcher,"Flycatcher, Dusky-brown",EBIRD,2017.02,23403.003,,afdfly1,species,Passeriformes,Muscicapidae (Old World Flycatchers),0,,TC009083
bawfly2,Cyanoptila cyanomelana,Blue-and-white Flycatcher,"Flycatcher, Blue-and-white",EBIRD,2017.02,23403.0373,,bawfly2,species,Passeriformes,Muscicapidae (Old World Flycatchers),0,,TC009130
bobfly2,Cyornis superbus,Bornean Blue Flycatcher,"Flycatcher, Bornean Blue",EBIRD,2017.02,23403.0307,,bobfly2,species,Passeriformes,Muscicapidae (Old World Flycatchers),0,,TC009158
gobrob1,Tarsiger chrysaeus,Golden Bush-Robin,"Robin, Golden Bush-",EBIRD,2017.02,23403.0669,,gobrob1,species,Passeriformes,Muscicapidae (Old World Flycatchers),0,,TC009196
kasrob2,Cercotrichas coryphoeus,Karoo Scrub-Robin,"Robin, Karoo Scrub-",EBIRD,2017.02,23403.0149,,kasrob2,species,Passeriformes,Muscicapidae (Old World Flycatchers),0,,TC009230
reusto1,Saxicola tectes,Reunion Stonechat,"Stonechat, Reunion",EBIRD,2017.02,23403.0853,,reusto1,species,Passeriformes,Muscicapidae (Old World Flycatchers),0,,TC009308
blawhe1,Oenanthe leucura,Black Wheatear,"Wheatear, Black",EBIRD,2017.02,23403.0961,,blawhe1,species,Passeriformes,Muscicapidae (Old World Flycatchers),0,,TC009277
blacks1,Cercomela melanura,Blackstart,Blackstart,EBIRD,2017.02,23403.0942,,blacks1,species,Passeriformes,Muscicapidae (Old World Flycatchers),0,,TC009322
micsta1,Aplonis opaca,Micronesian Starling,"Starling, Micronesian",EBIRD,2017.02,26518,,micsta1,species,Passeriformes,Sturnidae (Starlings),0,,TC010039
socsta1,Onychognathus frater,Socotra Starling,"Starling, Socotra",EBIRD,2017.02,26702,,socsta1,species,Passeriformes,Sturnidae (Starlings),0,,TC010128
hilsta1,Lamprotornis hildebrandti,Hildebrandt's Starling,"Starling, Hildebrandt's",EBIRD,2017.02,26719,,hilsta1,species,Passeriformes,Sturnidae (Starlings),0,,TC010112
yeboxp1,Buphagus africanus,Yellow-billed Oxpecker,"Oxpecker, Yellow-billed",EBIRD,2017.02,26740,,yeboxp1,species,Passeriformes,Buphagidae (Oxpeckers),0,,TC010146
whtnut1,Sitta himalayensis,White-tailed Nuthatch,"Nuthatch, White-tailed",EBIRD,2017.02,20755,,whtnut1,species,Passeriformes,Sittidae (Nuthatches),0,,TC008255
beanut1,Sitta formosa,Beautiful Nuthatch,"Nuthatch, Beautiful",EBIRD,2017.02,20826,,beanut1,species,Passeriformes,Sittidae (Nuthatches),0,,TC008279
whbwea1,Dinemellia dinemelli,White-headed Buffalo-Weaver,"Weaver, White-headed Buffalo-",EBIRD,2017.02,31466,,whbwea1,species,Passeriformes,Ploceidae (Weavers and Allies),0,,TC011922
septit1,Anthoscopus punctifrons,Sennar Penduline-Tit,"Tit, Sennar Penduline-",EBIRD,2017.02,20520,,septit1,species,Passeriformes,Remizidae (Penduline-Tits),0,,TC008197
grysib1,Heterophasia gracilis,Gray Sibia,"Sibia, Gray",EBIRD,2017.02,23377.04174,,grysib1,species,Passeriformes,Leiothrichidae (Laughingthrushes and Allies),0,,TC009857
sthbul1,Pycnonotus zeylanicus,Straw-headed Bulbul,"Bulbul, Straw-headed",EBIRD,2017.02,21485.173,,sthbul1,species,Passeriformes,Pycnonotidae (Bulbuls),0,,TC008457
